Rank,ID,Name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
86,209880966,24 X Blaze,10.51M,1.41M,51.87M,8.73M,5.75M,1.43M,88.09M
87,207093369,24 X҉ FangYuan,10.43M,5.04M,43.6M,8.48M,13.58M,7.03M,279.34M
88,207037071,ᴳᵛChocolate,10.41M,1.44M,28.4M,68K,3.79M,895.83K,60.51M
89,206969476,24 X҉ Xatarê,10.14M,1.25M,36.15M,5.13M,8.39M,643.83K,111.43M
90,209875567,ᴬᵈDMAч1т,10.12M,473.5K,56.78M,10.43M,4.74M,1.01M,73.72M
91,208973298,24 X҉ AndiUmar,9.98M,2.95M,31.36M,4.53M,6.95M,553.63K,100.33M
92,208580783,24X҉Сиэль,9.92M,3M,28.61M,2.43M,13.1M,696.72K,156.43M
93,209345131,ᴰᴷCamaron,9.53M,1.03M,28.31M,2.49M,2.99M,326.69K,53.12M
94,210445136,Xàmlông,9.39M,647.39K,38.51M,5.66M,3.64M,365.71K,60.57M
95,208108254,Alex hub,9.35M,2.89M,36.01M,2.13M,31.08M,1.32M,347.37M
96,207032911,Nemezis1,9.04M,808.04K,42.35M,4.96M,2M,822.62K,38.13M
97,210422456,Mảngo,9M,283.19K,25.58M,3.19M,1.98M,230.91K,26.04M
98,208585387,Топoль,8.64M,5.79M,45.04M,6.59M,9.44M,234.16K,115.51M
99,207566610,LuffyOldfarm,8.44M,6.25M,31.81M,2.9M,6.28M,1.24M,91.2M
100,210166542,Abcdefin,8.24M,4.38M,30.92M,4.99M,3.96M,68.35K,62.69M
101,207270931,guardboy,8.22M,7.77M,35.31M,4.71M,11.88M,1.51M,168.54M
102,210101700,Jinozz,8M,1.54M,34.3M,6.69M,1.61M,191.67K,38.11M
103,209072763,ᶻᵒDungori,7.47M,7.67M,26.02M,1.95M,6.78M,320.19K,80.24M
104,208684612,ᶲJW4101,7.29M,391.04K,27.56M,2.66M,1.46M,169.08K,20.82M
105,209367234,øPositron,6.59M,1.73M,36.94M,1.49M,3.42M,505.2K,47.94M
106,208158335,24 X҉ HellSing,6.46M,1.41M,31.04M,2.41M,4.1M,168.6K,57.54M
107,210517889,babyb0y,6.03M,8.55M,35.83M,5.83M,12.1M,1.87M,179.31M
108,210233153,ᴿᶠMixey911,5.77M,1.04M,35.06M,6.04M,3.9M,538.56K,59.73M
109,209506286,ˣˣ AMSTER,5.63M,1.33M,43.36M,2.18M,9.5M,3.9M,177.19M
110,207014016,24 X҉ Jhoncewi,5.33M,788.28K,33.45M,5.16M,10.1M,795.41K,121.43M
111,210209380,King Bismarck,5.17M,1.71M,26.33M,4.11M,3.85M,97.42K,48.53M
112,209927994,24 X҉  Visna,5.03M,1.85M,41.28M,6.9M,4.69M,1.21M,83.58M
113,210437015,Almaspavlodar,5M,143.63K,26.33M,2.34M,426.95K,60.44K,5.59M
114,210661343,业๛ BREEZEメ,4.57M,58.65M,42.02M,5.48M,9.08M,532.55K,124.68M
115,210373350,ero3,4.27M,666.94K,30.01M,5.88M,1.27M,303.15K,23.29M
116,209007130,ᴿwmeowington,4.15M,6.92M,29.65M,7.44M,3.48M,90.4K,42.45M
117,210103821,24 X҉  dayday,3.78M,6.09M,33.75M,6.6M,4.26M,308.18K,51.87M
