rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
83,207037071,ᴳᵛChocolate,10.41M,60.51M,28.36M,28.00K,3.79M,895.83K,2.29M
84,209333993,jaims cat,10.35M,46.08M,38.52M,2.82M,3.25M,381.81K,2.29M
85,209875567,ᴬᵈDMAч1т,10.12M,73.72M,55.23M,8.87M,4.74M,1.01M,683.18K
86,208580783,24X҉Сиэль,9.84M,156.32M,29.31M,3.17M,13.10M,692.33K,2.17M
87,210354561,ᴸnichii,9.49M,116.64M,28.21M,4.16M,10.09M,413.99K,1.41M
88,209819561,MEDS21,9.45M,111.90M,32.04M,4.86M,8.70M,716.78K,1.96M
89,208108254,Alex hub,9.35M,347.37M,36.01M,2.13M,31.08M,1.32M,3.79M
90,210394588,24 X҉ Tường,9.09M,66.55M,25.37M,3.08M,5.13M,166.54K,2.51M
91,208973298,24 X҉ AndiUmar,9.05M,98.95M,32.99M,6.17M,6.90M,506.52K,2.50M
92,206969476,24 X҉ Xatarê,8.90M,110.94M,36.85M,5.83M,8.37M,626.71K,2.49M
93,209345131,ᴰᴷCamaron,8.45M,52.77M,28.68M,2.87M,2.97M,318.32K,1.87M
94,208585387,Топoль,8.26M,114.75M,45.27M,6.82M,9.36M,234.16K,2.01M
95,210101700,Jinozz,8.00M,38.11M,34.30M,6.69M,1.61M,191.67K,2.04M
96,207032911,Nemezis1,7.66M,37.80M,42.62M,5.31M,2.00M,807.70K,2.22M
97,207566610,LuffyOldfarm,7.57M,89.93M,32.11M,3.21M,6.24M,1.19M,2.19M
98,209072763,ᶻᵒDungori,7.34M,80.12M,25.99M,1.91M,6.78M,316.02K,2.43M
99,208158335,24 X҉ HellSing,6.46M,57.54M,31.04M,2.41M,4.10M,168.60K,2.02M
100,207270931,guardboy,6.39M,165.84M,34.88M,4.27M,11.80M,1.42M,2.48M
101,209367234,øPositron,6.26M,47.50M,37.56M,2.22M,3.40M,495.73K,4.73M
102,210445136,Xàmlông,6.22M,59.73M,39.46M,6.62M,3.62M,329.79K,2.01M
103,210233153,ᴿᶠMixey911,5.77M,59.73M,35.06M,6.04M,3.90M,538.56K,1.23M
