Metric,Value
TOTAL PLAYERS,289
DKP < 1M,210

Rank,Governor ID,Name,End Power,End Troop Power,T4N,T4 Kills,T5 Kills,Deads,KP,DKP,Active
87,210441175,gaberner,23.59M,2.35M,588.05K,17.52K,11.99K,41.11K,415.09K,678.51K,False
88,209756441,ᴰᴷllama2502,26.59M,4.55M,1.14M,18.32K,26.52K,11.95K,714.11K,608.93K,False
89,209876388,Şahinşahz,24.11M,2.57M,642.46K,121.20K,0,0,1.21M,606.00K,False
90,210371729,24 X҉ xANGELx,27.69M,2.62M,654.65K,12.39K,35.59K,0,835.61K,595.74K,False
91,210431963,24 X҉ vSharks,45.55M,7.25M,1.81M,96.12K,0,0,961.22K,480.61K,False
92,209944070,24X҉  PaTRoN46,34.47M,1.88M,470.18K,29.85K,21.84K,0,735.36K,476.89K,False
93,209323093,THE END rog,25.00M,877.72K,219.43K,56.26K,853,14.39K,579.68K,437.99K,False
94,209302826,1Vorobey1,41.28M,5.29M,1.32M,19.83K,22.04K,0,639.08K,429.74K,False
95,209312381,Yola61,24.97M,5.35M,1.34M,12.70K,4.90K,29.09K,225.06K,427.91K,False
96,208585387,Топoль,45.04M,6.59M,1.65M,75.74K,0,0,757.36K,378.68K,False
97,209367234,øPositron,36.94M,1.49M,371.81K,24.76K,10.33K,6.89K,454.18K,347.60K,False
98,210490061,24 X҉ DuMuc,29.38M,1.50M,374.59K,67.31K,0,0,673.07K,336.54K,False
99,210834790,Huyメ,27.08M,4.22M,1.06M,17.93K,15.46K,0,488.52K,321.56K,False
100,213221751,24 X҉ vSharKs,31.72M,6.36M,1.59M,63.80K,0,0,637.96K,318.98K,False
101,210437015,Almaspavlodar,26.33M,2.34M,585.50K,4.01K,6.21K,16.60K,164.18K,279.13K,False
102,210376336,24 X҉ Serelis,26.50M,3.54M,885.25K,9.91K,12.85K,0,356.11K,242.29K,False
103,209322462,ˣPoseidon,28.14M,3.11M,778.21K,43.10K,0,0,430.97K,215.49K,False
104,207682854,24 X҉ Nina,22.33M,0,0,0,12.94K,0,258.74K,194.06K,False
105,206992661,GunnaGhøst,21.15M,0,0,31.71K,0,0,317.10K,158.55K,False
106,207592439,ˢᵛJoiSai,23.15M,2.67M,668.33K,4.12K,8.64K,0,214.05K,150.24K,False
107,209868020,KabouterKenny,17.89M,20.00K,5.00K,26,8.69K,0,174.06K,130.48K,False
108,208762017,SP N,28.72M,6.40M,1.60M,18.25K,1.62K,0,214.97K,115.59K,False
109,210243771,BrunetteValkyri,22.04M,640.49K,160.12K,3.95K,2.17K,5.69K,82.93K,109.23K,False
