player id,name,power,kill point,rank,rss assist,clan name
209692424,ᴮᴺ Lee Myon,35437217,31830920,R1,0,SL
209875786,24 X҉  Malrin,35341304,79131187,R1,0,SL
210490061,24 X҉ DuMuc,34824637,23533046,R2,20000000,SL
210052043,ᴹᴰJester,34751786,15930805,R1,0,SL
210482880,24 X҉  Slayer,34483305,82784403,R1,0,SL
209367117,ᴱᶻIvanRR,34146342,21388153,R1,20608000,SL
209043926,TOMBOYY,33420433,63780983,R1,0,SL
209905807,24X҉   Valetta,33263689,5459624,R1,0,SL
209814285,空Tuấn空,33113461,88112458,R1,0,SL
210233153,ᴿᶠMixey911,32933505,50898061,R1,0,SL
210254146,Алекс 2909,32323084,29268393,R1,0,SL
208973298,24 X҉ AndiUmar,32300958,43047159,R1,0,SL
208718417,TheinOo,32273575,52498238,R1,0,SL
208195504,ᴿᵂ Zytue,31907386,23169285,R2,0,SL
210101700,Jinozz,31862910,34913955,R1,0,SL
210213330,Ita city,31455395,3741152,R1,18400000,SL
207037071,ᴳᵛChocolate,31283626,59471901,R2,0,SL
210103821,24 X҉  dayday,31129100,35223131,R1,0,SL
209320692,ᴱᶻLelya Fm,30874090,22066219,R1,9200000,SL
210253567,Bad papа,30812843,71825423,R1,32000000,SL
209076305,ʸᵘSłonik339,30569781,45318255,R1,0,SL
213221751,24 X҉ vSharKs,30316178,21265897,R1,60000000,SL
209838834,Teung,30116024,29449818,R1,0,SL
208558087,24 X҉ Alie,29940578,83252096,R1,0,SL
207566610,ᵒᵈLuFFy,29910952,81180718,R1,0,SL
207742044,xxAgresif,29348044,65074022,R1,0,SL
210379863,24 X҉  Quỳnh,29325276,69016078,R1,0,SL
209848443,ᴿᵂPalo4keee,29275185,51157305,R1,0,SL
209811971,peter graffi,29114210,91903520,R1,0,SL
210082550,xFACAx,29024097,28287385,R1,0,SL
209938736,ᴮᴺAquemini,28991083,56330256,R1,0,SL
209819561,MEDS21,28508713,53421434,R1,0,SL
210412615,methusala,28398906,12860562,R1,18400000,SL
206974141,ᴳᴴKaiO,28289705,66154218,R2,0,SL
210531865,Cyntra City,28249065,4779261,R2,0,SL
207428704,ᶫʳБьёрн,28117811,98445947,R1,0,SL
218982356,Lamnesik,27597244,19860282,R1,0,SL
211329312,石木,27364476,22263435,R1,0,SL
207933613,24 X҉ Sawakita,27149728,50744239,R1,0,SL
209323093,THE END rog,26875994,30150229,R1,0,SL
207786640,AMADIOHA,26698642,88664391,R1,0,SL
209354961,RW penculik111,26305578,74252091,R1,0,SL
209853903,24 X҉ SenSey,25643230,93677142,R1,0,SL
209072763,ᶻᵒDungori,25337930,53508496,R1,0,SL
210422456,Mảngo,25208239,17159989,R1,0,SL
209786492,Girl sexyyyy,25189386,35265417,R1,0,SL
209756294,ᴰᴷREDER2502,24943074,21253903,R2,0,SL
209756441,ᴰᴷllama2502,24235118,22894807,R2,0,SL
208762017,SP N,24116574,17676453,R1,0,SL
209859699,QueenCandy P,23714758,29249395,R1,0,SL
210426611,Pé Chanh 2k6,23567176,3118565,R2,0,SL
210834790,ˣⁿRealmadrid,23547769,19514526,R1,0,SL
212333596,ᴹɪɴɪK0uisF,22005514,2136311,R2,0,SL
209312381,Yola61,21298841,1202966,R2,0,SL
207957194,BankKingdom24,20425243,46388434,R3,0,SL
210439905,せりお9,33633167,3957222,R3,0,SLF
209620976,SUPERMANx,31018453,13434781,R3,0,SLF
210438552,24 X҉ PPPhúc,26861048,38599869,R3,0,SLF
209829051,24 X҉ Hexxy,25208050,49429340,R3,0,SLF
209926937,우라차차,24612849,1619612,R3,0,SLF
209858936,RW Zill,23621952,6984021,R3,0,SLF
210403265,SlowZ06guy,22712142,224750,R3,0,SLF
211294741,Lionfarm,22467991,3643659,R3,0,SLF
210372206,BatesS,21879131,1179621,R3,0,SLF
209112837,ᶲAKa Rùa,21313726,22026421,R3,0,SLF
