#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,DKP,Trades,Credit Score,Kill Points,Death Points,Heal Points,Feeding Rate
1221,209875786,24 X҉  Malrin,Fire,3924,38664868,0,0,0,0,0,0,0,0,,100,3205003,9917,1002612,
1233,209829051,24 X҉ Hexxy,Fire,3924,25208050,0,0,0,0,0,0,0,0,,100,0,0,0,
1241,210539282,Scriptor,Fire,3924,29460357,0,0,0,0,0,0,0,0,,100,0,0,5560,
1246,210479418,Sulaymãn,Fire,3924,17403115,0,0,0,0,0,0,0,0,,100,0,0,0,
1262,209482763,Éléna,Fire,3924,30540270,0,0,0,0,0,0,0,0,,100,0,0,0,
1279,210370357,thegoathimself,Fire,3924,21764722,0,0,0,0,0,0,0,0,,100,0,0,0,
1284,208164511,ᴿᵂIndigo,Fire,3924,22217865,0,0,0,0,0,0,0,0,,100,0,0,0,
1288,210944394,xThanhLong,Fire,3924,24906547,0,0,0,0,0,0,0,0,,100,0,0,2197,
1289,209853749,24TùgGấu,Fire,3924,34788837,0,0,0,0,0,0,0,0,,100,304674,0,222353,
1293,210676623,24 X҉ LãoTam,Fire,3924,30924288,0,0,0,0,0,0,0,0,,100,0,0,0,
1309,210401075,VoidAlbion,Fire,3924,24305262,0,0,0,0,0,0,0,0,,100,229699,0,863243,
1325,208195504,ᴿᵂ Zytue,Fire,3924,33544509,0,0,0,0,0,0,0,0,,100,560254,99348,912895,
1343,210373350,ero3,Fire,3924,27752685,0,0,0,0,0,0,0,0,,100,32367,0,101993,
1373,208158335,24 X҉ HellSing,Fire,3924,32181951,0,0,0,0,0,0,0,0,,100,71353,190667,0,
1382,210049658,24 X҉ Lionhart,Fire,3924,39541613,0,0,0,0,0,0,0,0,,100,859796,0,1020403,
1396,210346486,todays 12,Fire,3924,60400659,0,0,0,0,0,0,0,0,,100,753945,0,1050850,
1412,207579331,24 X҉ SNØŌWミ,Fire,3924,20142799,0,0,0,0,0,0,0,0,,100,0,0,0,
1424,210243771,BrunetteValkyri,Fire,3924,22241497,0,0,0,0,0,0,0,0,,100,0,0,0,
1428,207108248,HOY PINOY AKOヮ,Fire,3924,27124218,0,0,0,0,0,0,0,0,,100,2769410,751604,6414949,
1434,210401319,bulldog,Fire,3924,26023996,0,0,0,0,0,0,0,0,,100,0,0,0,
1442,210584534,Lamponi,Fire,3924,23119387,0,0,0,0,0,0,0,0,,100,0,0,0,
1447,210406738,24 X҉ Turbo01,Fire,3924,19387833,0,0,0,0,0,0,0,0,,100,0,0,0,
1459,206949917,marious1990,Fire,3924,34002260,0,0,0,0,0,0,0,0,,100,0,0,0,
1489,202699449,Spartacus Farm1,Fire,3924,19850156,0,0,0,0,0,0,0,0,,100,0,0,0,
1499,210372642,NTThaSN,Fire,3924,27546793,0,0,0,0,0,0,0,0,,100,0,0,0,
1507,210378553,DEMETR,Fire,3924,19793114,0,0,0,0,0,0,0,0,,100,0,0,0,
1509,207742044,xxAgresif,Fire,3924,30998717,0,0,0,0,0,0,0,0,,100,0,0,612,
1517,209844407,Nick40,Fire,3924,56885228,0,0,0,0,0,0,0,0,,100,6211405,75015,4021616,
1535,209607393,柱 VeNdDeTtA,Fire,3924,40422289,0,0,0,0,0,0,0,0,,100,0,0,0,
1537,209306575,Spartacus6,Fire,3924,34757113,0,0,0,0,0,0,0,0,,100,321126,24523,704829,
1549,210095833,24X҉Naofumi,Fire,3924,22040334,0,0,0,0,0,0,0,0,,100,0,0,0,
1559,209072763,ᶻᵒDungori,Fire,3924,25755341,0,0,0,0,0,0,0,0,,100,752,0,8296,
1566,204674520,CG Nga 乄 Pea,Fire,3924,62322978,0,0,0,0,0,0,0,0,,100,1963449,0,1922859,
1570,209996542,ceu A team,Fire,3924,19515299,0,0,0,0,0,0,0,0,,100,0,0,0,
1573,210438552,24 X҉ PPPhúc,Fire,3924,27601775,0,0,0,0,0,0,0,0,,100,500288,209345,792283,
1611,208684612,ᶲJW4101,Fire,3924,26880838,0,0,0,0,0,0,0,0,,100,97836,10080,865997,
1617,210434155,Secte,Fire,3924,31943778,0,0,0,0,0,0,0,0,,100,8737,0,89732,
1625,210750053,KristianCor,Fire,3924,21916097,0,0,0,0,0,0,0,0,,100,0,0,0,
1633,207270931,guardboy,Fire,3924,33943350,0,0,0,0,0,0,0,0,,100,259643,0,411763,
1641,208718417,TheinOo,Fire,3924,33380919,0,0,0,0,0,0,0,0,,100,2824941,213656,1631527,
1652,210210212,Шамс 7х7,Fire,3924,17636965,0,0,0,0,0,0,0,0,,100,0,0,0,
1679,210978128,Right hand,Fire,3924,18549526,0,0,0,0,0,0,0,0,,100,0,0,0,
1681,210398747,ÐarkKnight,Fire,3924,19831219,0,0,0,0,0,0,0,0,,100,0,0,0,
1691,209692424,ᴮᴺ Lee Myon,Fire,3924,30667537,0,0,0,0,0,0,0,0,,100,0,0,0,
1712,210443073,DMAферма,Fire,3924,23616180,0,0,0,0,0,0,0,0,,100,0,0,0,
1763,209343632,Shinjimae,Fire,3924,18237234,0,0,0,0,0,0,0,0,,100,0,0,0,
1779,208966369,24 X҉ MONGOLIY,Fire,3924,22246867,0,0,0,0,0,0,0,0,,100,0,0,0,
