Rank,ID,Name,DKP,KP,Power,Troop Power,T4N,T4 Kills,T5 Kills,Deads
36,210438552,24 X҉ PPPhúc,5.51M,6.56M,27.78M,4.2M,1.05M,202.17K,226.12K,111.04K
37,209569488,24 X҉ BaByHulk,5.42M,5.11M,50.9M,2.43M,,207.89K,148.47K,214.87K
38,210346486,todays 12,5.32M,7.22M,62.41M,14.83M,,63.58K,329.27K,6.73K
39,205078912,24 X҉ ACE,5.27M,7.47M,46.78M,4.48M,,135.28K,305.65K,627
40,207576224,24 X҉ Viona,5M,4.24M,40.7M,4.07M,1.02M,86.33K,169.04K,203.03K
41,210354561,ᴸnichii,4.84M,4.57M,28.06M,4.01M,1M,174.9K,141.15K,184.75K
42,209779749,ᴰᴷMajima,4.45M,4.21M,28.55M,3.34M,835.98K,219.53K,100.78K,183.78K
43,209819561,MEDS21,4.31M,2.4M,30.77M,3.59M,896.93K,73.4K,83.06K,269.42K
44,209600107,LeONn,3.97M,5.91M,38.45M,4.13M,1.03M,183.41K,203.65K,0
45,203945925,24 X҉ FramAce,3.93M,4.31M,39.71M,5.21M,1.3M,184.18K,123.34K,115.75K
46,207270931,guardboy,3.86M,5.54M,35.31M,4.71M,1.18M,121.19K,216.64K,0
47,210412615,methusala,3.47M,3.28M,31.78M,5.29M,1.32M,101.77K,112.91K,127.23K
48,207317874,24 X҉ MONGOL,3.41M,5.03M,32.12M,3.28M,819.54K,146.52K,178.21K,0
49,209320692,ᴱᶻLelya Fm,3.32M,598.78K,29.3M,0,0,17.89K,20.99K,291.95K
50,207034573,24 X҉ HànLão,3.24M,3.53M,63.11M,12.3M,,183.37K,84.45K,105.14K
51,209324904,TaonguoiVietNam,3.19M,4.35M,44.73M,2.24M,559.06K,105.75K,164.71K,19.18K
52,210445136,Xàmlông,3.18M,836.5K,38.51M,5.66M,1.42M,11.81K,35.92K,257.94K
53,207012251,MeowMeowMeowww,3.01M,1.53M,38.09M,3.21M,803.19K,69.94K,41.62K,203.59K
54,210166542,Abcdefin,2.74M,5.48M,30.92M,4.99M,1.25M,548.32K,0,0
55,209875786,24 X҉  Malrin,2.4M,2.76M,40.51M,6.47M,1.62M,103.27K,86.16K,58.69K
56,209534514,24 X҉ Ney,2.35M,3.61M,33M,5.17M,1.29M,141.8K,109.48K,0
57,207317722,iryshka,2.32M,3.27M,42.84M,5.81M,1.45M,52.02K,137.38K,0
58,209788785,24 X҉ NVTboi,2.25M,2.45M,35.37M,2.55M,638.14K,80.52K,81.15K,62.57K
59,209616823,ᴹᴰXrUsT,2.15M,1.79M,31.37M,1.97M,493.19K,56.61K,61.19K,94.84K
60,207933613,24 X҉ Sawakita,2.1M,2.14M,29.82M,6.52M,1.63M,61.81K,76.29K,64.17K
