rank,id,name,DKP,KP,Power,Troop Power,T4 Kills,T5 Kills,Deads
25,209530219,24 X҉ SóiGià,43.06M,55.25M,38.27M,4.67M,1.94M,1.77M,0.68M
26,209817323,ᴰᴷZORO GPS,41.10M,50.64M,35.68M,6.81M,1.26M,1.90M,0.63M
27,209616823,ᴹᴰXrUsT,40.31M,46.99M,31.90M,2.63M,2.29M,1.20M,1.08M
28,209534514,24 X҉ Ney,39.20M,60.12M,32.42M,4.59M,3.07M,1.45M,0.21M
29,207279889,24 X҉ DUMBLDOR,37.85M,56.46M,44.39M,2.94M,4.22M,0.69M,0.64M
30,210431963,24 X҉ vSharks,37.56M,64.99M,45.79M,7.48M,5.64M,0.43M,0.29M
31,208718417,TheinOo,36.85M,47.36M,33.49M,3.84M,2.16M,1.26M,0.71M
32,209569488,24 X҉ BaByHulk,35.94M,53.25M,53.90M,5.45M,3.27M,0.99M,0.47M
33,210262314,ᴮᴺGLE400,32.38M,46.08M,64.22M,15.01M,1.21M,1.70M,0.08M
34,209875786,24 X҉  Malrin,32.02M,48.73M,40.33M,6.29M,2.05M,1.41M,0.06M
35,210346486,todays 12,31.82M,45.47M,62.17M,14.60M,1.21M,1.67M,0.07M
36,209527597,24 X҉ Klee,31.73M,41.82M,32.92M,6.10M,1.86M,1.16M,0.50M
37,207576224,24 X҉ Viona,31.66M,39.63M,41.70M,5.07M,1.40M,1.28M,0.55M
38,207108248,HOY PINOY AKOヮ,30.36M,33.24M,25.77M,2.05M,1.77M,0.78M,0.99M
39,207317722,iryshka,29.39M,39.02M,43.11M,6.08M,1.48M,1.21M,0.38M
40,208559123,Stflrs Mom,28.95M,49.10M,57.52M,9.27M,3.15M,0.88M,0.00M
41,210482880,24 X҉  Slayer,28.19M,34.06M,35.06M,4.03M,1.40M,1.00M,0.62M
42,209324904,TaonguoiVietNam,25.83M,24.17M,45.91M,3.41M,0.83M,0.79M,0.98M
43,209435533,hiền hihi,25.60M,34.94M,37.40M,6.45M,1.14M,1.18M,0.22M
44,209779749,ᴰᴷMajima,25.09M,27.71M,29.16M,3.95M,0.90M,0.94M,0.65M
45,207774760,KhôiLangThang,25.05M,13.44M,31.84M,2.38M,0.65M,0.35M,1.66M
46,210399713,Izzy the Great,24.30M,23.02M,38.71M,3.91M,1.27M,0.51M,1.03M
47,211329312,石木,23.97M,27.91M,29.60M,4.79M,0.89M,0.95M,0.53M
48,210049658,24 X҉ Lionhart,21.68M,26.28M,46.08M,4.51M,1.10M,0.76M,0.47M
49,208145473,Vicentuss,21.29M,33.00M,32.50M,4.45M,2.83M,0.23M,0.36M
50,210371729,24 X҉ xANGELx,21.21M,33.54M,28.36M,3.30M,2.25M,0.50M,0.25M
51,210142805,Olly25,21.11M,10.23M,26.54M,1.66M,0.41M,0.31M,1.45M
52,210417562,24 X҉   Redbud,20.99M,24.37M,35.41M,6.78M,2.02M,0.21M,0.78M
53,210376336,24 X҉ Serelis,20.82M,24.37M,26.77M,3.81M,0.90M,0.77M,0.48M
54,208195504,ᴿᵂ Zytue,18.89M,4.99M,30.14M,2.72M,0.20M,0.15M,1.56M
55,207034573,24 X҉ HànLão,18.77M,16.15M,64.14M,13.33M,0.94M,0.34M,0.90M
56,209838770,24 X҉  ReDemon,18.71M,15.04M,40.76M,3.49M,0.58M,0.46M,0.89M
