uid,name,pow,dkp,kvk3 kp,total kp,clan name
210399713,Izzy the Great,31112575,17035087,49289197,63676099.0,LW
209848694,24 X҉ Leano,31042089,802673,1869610,,
209620976,SUPERMANx,31018453,0,0,13434781.0,SLF
207989016,SpeedEge2,30913905,2007730,3727732,54953727.0,SL
210381690,24 X҉  CITOYEN,30875475,0,0,,
210253567,Bad papа,30839589,5902883,13990535,71825423.0,SL
209320692,ᴱᶻLelya Fm,30808398,412844,895660,22066219.0,SL
210401319,bulldog,30716878,408532,879430,7662115.0,AL
210744133,Dirtyguido,30665690,17937553,2845935,15391970.0,LW
209076305,ʸᵘSłonik339,30474569,3732976,7119617,45318255.0,SL
210103821,24 X҉  dayday,30361307,14520873,23276725,34759206.0,SL
208158335,24 X҉ HellSing,30231766,12250974,8720838,49913548.0,AL
209962010,マリーゴールド,30216655,14810879,5726734,12396637.0,LW
209616823,ᴹᴰXrUsT,30205278,25291186,32207465,102816075.0,SL
210434155,Secte,29924892,2697371,5504753,11905761.0,LW
210249125,Gopq,29909779,0,0,5075019.0,LW
209534514,24 X҉ Ney,29878983,49499828,99022722,206236893.0,SL
208208516,ᴿᵂBando,29834825,69266250,140913484,289429328.0,SL
213221751,24 X҉ vSharKs,29765262,4845951,9619528,21265897.0,SL
210190324,Legend68,29744276,14422489,1449912,,
212007469,Ulvsbane farm,29736011,915837,1024918,4384652.0,LW
210213330,Ita city,29721312,12447220,2131379,3733102.0,SL
209904530,ᴿᵂ MarkDen,29679787,5046381,2832440,17718962.0,AL
209870454,pantyha,29678663,1508119,1149970,,
209378653,24 X҉ Manoelbr,29651548,16267572,13667244,,
208680184,Kutilkatak,29607379,7069356,11858370,21447837.0,AL
208108990,ᴰᴰAchille1,29529544,7555229,7024088,33856519.0,LW
209321542,Rambo ll,29498226,11231619,11013030,19881837.0,AL
209908286,REPragmatic,29494972,14623441,19420497,,
208145473,Vicentuss,29471470,12189359,11459064,30212886.0,LW
209881330,ᴿᵂKittamer,29415783,10268845,3517599,20836387.0,AL
208558087,24 X҉ Alie,29400434,25693724,43113190,83252096.0,SL
207777450,WorstNightmare,29385986,4063144,645082,,
207566610,ᵒᵈLuFFy,29360066,17588890,26799642,81180718.0,SL
209965993,Мрисса,29348258,11753213,7688638,27971914.0,AL
210272139,Inf1n1ty,29340295,37250415,81009257,137999695.0,SL
207423496,F4RHAN,29335448,0,0,,
207748792,ᴷᴰ NirF,29328991,0,0,4040793.0,LW
210013615,ᴹᴰLadyVic,29323283,0,0,44375932.0,ML
198165067,ITACHI乂Peak,29303805,0,0,,
208200368,ᴿᵂAlphaWolf,29297092,4124550,9527034,61018534.0,AL
207317874,24 X҉ MONGOL,29289267,28450259,43416473,178351946.0,SL
206995967,Choco 1,29266127,5994523,4440735,,
207701181,123123sjej,29190910,92072,226340,,
209924348,24 X҉ Fuzjaaa,29141494,0,0,,
207562640,ᴿᵂEazyBuu,29122668,2331322,3556117,28438076.0,AL
206967436,KATSOUTA,29072635,0,0,,
209848443,ᴿᵂPalo4keee,29053097,11868264,24225697,51152665.0,SL
208313590,Jack メ Mengocok,29043416,0,0,,
208560935,ᶲ Aheles,28972730,20156,49280,6867852.0,LW
210253596,ᴳᴺAURELIUS,28959207,0,0,37770793.0,VL
209601440,ᵍˢSeth,28951352,0,0,,
208211785,ᶲOmJiroᴿᵂ,28936189,15430461,22873268,54655618.0,AL
207742044,xxAgresif,28928458,13136829,20454564,65074022.0,SL
210332264,ʳᶻKe1XrTh1zn,28766610,7508136,8415258,11680749.0,SL
209509609,Ryyysiek,28736449,8422276,12786608,20153701.0,LW
210379863,24 X҉  Quỳnh,28724139,20968691,44994638,67637821.0,SL
209938736,ᴮᴺAquemini,28686715,10165960,17008042,56330256.0,SL
210218341,DEMId 01,28666110,58618,146260,3390385.0,AL
210210393,Zhâk,28630061,2544710,4942220,17089650.0,LW
212491924,RedbudSupaFarm,28459838,4049248,2588009,3443739.0,AL
207320759,QUADBREED,28410475,1506129,42660,4921026.0,LW
208198410,ᴿᵂintruglio,28404389,1725339,1926946,16361577.0,AL
